Time Interval,Data
1,"{""rack1"": {""SKU"": [""Maggi Tomato Ketchup"", ""Nutella"", ""Snickers Family Treat""], ""SKU Count"": [1, 5, 6], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Kelloggs Chocos Fills"", ""Quaker Oats"", ""Maggi Tomato Ketchup""], ""SKU Count"": [6, 6, 1], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Nutella"", ""Quaker Oats"", ""Snickers Family Treat""], ""SKU Count"": [7, -2, -10], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Kelloggs Corn Flakes"", ""Nutella"", ""Maggi Tomato Ketchup""], ""SKU Count"": [7, -2, -6], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Maggi Tomato Ketchup"", ""Snickers Family Treat"", ""Nutella""], ""SKU Count"": [5, -3, -1], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
2,"{""rack1"": {""SKU"": [""Snickers Family Treat"", ""Snickers Family Treats"", ""Maggi Tomato Ketchup""], ""SKU Count"": [8, -2, -4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Kelloggs Chocos Fills"", ""Quaker Oats"", ""Snickers Family Treat""], ""SKU Count"": [1, -9, 0], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Snickers Family Treat"", ""Kelloggs Corn Flakes"", ""Maggi Tomato Ketchup""], ""SKU Count"": [6, 0, 9], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Kelloggs Chocos Fills"", ""Nutella"", ""Kelloggs Corn Flakes""], ""SKU Count"": [7, 6, 10], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Snickers Family Treats"", ""Maggi Tomato Ketchup"", ""Quaker Oats""], ""SKU Count"": [5, -4, 2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
3,"{""rack1"": {""SKU"": [""Snickers Family Treat"", ""Snickers Family Treats"", ""Nutella""], ""SKU Count"": [6, -2, -4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Snickers Family Treat"", ""Snickers Family Treats"", ""Nutella""], ""SKU Count"": [3, -6, -7], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Snickers Family Treat"", ""Nutella"", ""Kelloggs Chocos Fills""], ""SKU Count"": [3, 3, 2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Kelloggs Corn Flakes"", ""Nutella"", ""Snickers Family Treat""], ""SKU Count"": [1, -7, -7], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Kelloggs Corn Flakes"", ""Maggi Tomato Ketchup"", ""Snickers Family Treats""], ""SKU Count"": [3, -2, 3], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
4,"{""rack1"": {""SKU"": [""Snickers Family Treats"", ""Quaker Oats"", ""Kelloggs Chocos Fills""], ""SKU Count"": [8, 6, 7], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Kelloggs Corn Flakes"", ""Snickers Family Treat"", ""Quaker Oats""], ""SKU Count"": [10, -8, 8], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Nutella"", ""Kelloggs Chocos Fills"", ""Kelloggs Corn Flakes""], ""SKU Count"": [9, -6, -4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Quaker Oats"", ""Snickers Family Treat"", ""Maggi Tomato Ketchup""], ""SKU Count"": [6, 7, 0], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Maggi Tomato Ketchup"", ""Kelloggs Corn Flakes"", ""Kelloggs Chocos Fills""], ""SKU Count"": [2, -8, 5], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
5,"{""rack1"": {""SKU"": [""Kelloggs Chocos Fills"", ""Snickers Family Treat"", ""Snickers Family Treats""], ""SKU Count"": [5, -8, -1], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Kelloggs Corn Flakes"", ""Quaker Oats"", ""Snickers Family Treats""], ""SKU Count"": [2, 2, 9], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Nutella"", ""Kelloggs Corn Flakes"", ""Snickers Family Treats""], ""SKU Count"": [4, 4, 7], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Snickers Family Treats"", ""Kelloggs Corn Flakes"", ""Quaker Oats""], ""SKU Count"": [8, 8, 5], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Quaker Oats"", ""Kelloggs Corn Flakes"", ""Snickers Family Treats""], ""SKU Count"": [7, -7, 8], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
6,"{""rack1"": {""SKU"": [""Snickers Family Treats"", ""Kelloggs Corn Flakes"", ""Kelloggs Chocos Fills""], ""SKU Count"": [9, 0, -6], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Snickers Family Treat"", ""Nutella"", ""Kelloggs Corn Flakes""], ""SKU Count"": [2, -10, -10], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Snickers Family Treat"", ""Quaker Oats"", ""Nutella""], ""SKU Count"": [3, 3, -10], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Snickers Family Treat"", ""Kelloggs Chocos Fills"", ""Kelloggs Corn Flakes""], ""SKU Count"": [9, 9, 7], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Quaker Oats"", ""Kelloggs Chocos Fills"", ""Snickers Family Treats""], ""SKU Count"": [1, -4, -10], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
7,"{""rack1"": {""SKU"": [""Quaker Oats"", ""Nutella"", ""Snickers Family Treats""], ""SKU Count"": [6, -2, -5], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Quaker Oats"", ""Kelloggs Chocos Fills"", ""Maggi Tomato Ketchup""], ""SKU Count"": [3, -1, -8], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Quaker Oats"", ""Nutella"", ""Snickers Family Treat""], ""SKU Count"": [1, -7, 8], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Snickers Family Treat"", ""Kelloggs Corn Flakes"", ""Snickers Family Treats""], ""SKU Count"": [3, 7, -7], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Snickers Family Treats"", ""Maggi Tomato Ketchup"", ""Quaker Oats""], ""SKU Count"": [7, -9, 3], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
8,"{""rack1"": {""SKU"": [""Quaker Oats"", ""Kelloggs Chocos Fills"", ""Snickers Family Treats""], ""SKU Count"": [1, 5, 4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Nutella"", ""Quaker Oats"", ""Snickers Family Treat""], ""SKU Count"": [6, -6, 10], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Snickers Family Treats"", ""Nutella"", ""Kelloggs Corn Flakes""], ""SKU Count"": [1, 9, 2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Snickers Family Treat"", ""Quaker Oats"", ""Maggi Tomato Ketchup""], ""SKU Count"": [5, 4, 10], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Quaker Oats"", ""Snickers Family Treat"", ""Snickers Family Treats""], ""SKU Count"": [3, -9, 3], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
9,"{""rack1"": {""SKU"": [""Snickers Family Treats"", ""Maggi Tomato Ketchup"", ""Kelloggs Corn Flakes""], ""SKU Count"": [9, 5, 2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Snickers Family Treat"", ""Kelloggs Chocos Fills"", ""Quaker Oats""], ""SKU Count"": [3, 10, 4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Nutella"", ""Snickers Family Treats"", ""Kelloggs Corn Flakes""], ""SKU Count"": [4, 4, -2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Kelloggs Corn Flakes"", ""Snickers Family Treat"", ""Nutella""], ""SKU Count"": [2, 4, 1], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Nutella"", ""Kelloggs Chocos Fills"", ""Snickers Family Treats""], ""SKU Count"": [2, 3, 7], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
10,"{""rack1"": {""SKU"": [""Nutella"", ""Quaker Oats"", ""Kelloggs Chocos Fills""], ""SKU Count"": [5, -6, 2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Maggi Tomato Ketchup"", ""Kelloggs Chocos Fills"", ""Quaker Oats""], ""SKU Count"": [7, 10, 6], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Nutella"", ""Kelloggs Corn Flakes"", ""Snickers Family Treat""], ""SKU Count"": [8, 2, 0], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Nutella"", ""Snickers Family Treat"", ""Maggi Tomato Ketchup""], ""SKU Count"": [4, -8, -2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Maggi Tomato Ketchup"", ""Quaker Oats"", ""Snickers Family Treats""], ""SKU Count"": [8, 0, 4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
