index,response
1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
2,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
3,"{0: 0, 1: 0,2: 1, 3: 15, 4: 28, 5: 22}"
4,"{0: 0, 1: 20, 2: 4, 3: 17, 4: 19, 5: 9}"
5,"{0: 0, 1: 15, 2: 23, 3: 7, 4: 27, 5: 0}"
6,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
7,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
8,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
9,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
10,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
11,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
12,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
13,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
14,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
15,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
