index,response
1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
2,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
3,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
4,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
6,"{0: 24, 1: 4, 2: 25, 3: 17, 4: 8, 5: 22}"
7,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
8,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
9,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
10,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
11,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
12,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
13,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
14,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
15,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
